"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"","null","video-keyboard-response","45","208167","0.0-45.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_285859.bmppp53_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","46","208167","0.0-46.0","","","","","","","","",""
"","4045.5999999940395","survey-likert","47","212214","0.0-47.0","","","","","","","{""judgement"":0}","[0]","0"
"","2352.199999988079","survey-likert","48","214567","0.0-48.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","49","214567","0.0-49.0","","","","","","","","",""
"","null","html-keyboard-response","50","217571","0.0-50.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","51","220727","0.0-51.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1591961.bmppp88_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","52","223731","0.0-52.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","53","226918","0.0-53.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1591961.bmppp88_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","54","226918","0.0-54.0","","","","","","","","",""
"","2416.9000000059605","survey-likert","55","229335","0.0-55.0","","","","","","","{""judgement"":1}","[0]","1"
"","2656","survey-likert","56","231992","0.0-56.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","57","231993","0.0-57.0","","","","","","","","",""
"","null","html-keyboard-response","58","234994","0.0-58.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","59","238272","0.0-59.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1160155.bmppp67_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","60","241277","0.0-60.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","61","244418","0.0-61.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1160155.bmppp67_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","62","244418","0.0-62.0","","","","","","","","",""
"","2446.5","survey-likert","63","246865","0.0-63.0","","","","","","","{""judgement"":1}","[0]","1"
"","2503.300000011921","survey-likert","64","249370","0.0-64.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","65","249370","0.0-65.0","","","","","","","","",""
"","null","html-keyboard-response","66","252374","0.0-66.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","67","255518","0.0-67.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713328.bmppp62_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","68","258523","0.0-68.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","69","261697","0.0-69.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713328.bmppp62_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","70","261697","0.0-70.0","","","","","","","","",""
"","3978.5999999940395","survey-likert","71","265676","0.0-71.0","","","","","","","{""judgement"":0}","[0]","0"
"","3279.5","survey-likert","72","268957","0.0-72.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","73","268957","0.0-73.0","","","","","","","","",""
"","null","html-keyboard-response","74","271962","0.0-74.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","75","275092","0.0-75.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_61574.bmppp90_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","76","278096","0.0-76.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","77","281231","0.0-77.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_61574.bmppp90_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","78","281231","0.0-78.0","","","","","","","","",""
"","1958.9000000059605","survey-likert","79","283191","0.0-79.0","","","","","","","{""judgement"":0}","[0]","1"
"","1454","survey-likert","80","284645","0.0-80.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","81","284646","0.0-81.0","","","","","","","","",""
"","null","html-keyboard-response","82","287652","0.0-82.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","83","290781","0.0-83.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_498388.bmppp62_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","84","293785","0.0-84.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","85","296914","0.0-85.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_498388.bmppp62_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","86","296914","0.0-86.0","","","","","","","","",""
"","8488.300000011921","survey-likert","87","305403","0.0-87.0","","","","","","","{""judgement"":0}","[0]","0"
"","2358.5","survey-likert","88","307762","0.0-88.0","","","","","","","{""confidence"":3}","[0]",""
"[{""page_index"":0,""viewing_time"":2350.2999999821186},{""page_index"":1,""viewing_time"":1209.7000000178814},{""page_index"":2,""viewing_time"":164.40000000596046}]","3724.5999999940395","instructions","89","311488","0.0-89.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1346},{""page_index"":1,""viewing_time"":165.69999998807907},{""page_index"":2,""viewing_time"":2058.4000000059605}]","3570.2999999821186","instructions","90","315058","0.0-90.0","","","","","","","","",""
"","","call-function","91","315059","0.0-91.0","","","","","","","","",""
"","null","html-keyboard-response","92","318062","0.0-92.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","93","321228","0.0-93.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159897.bmppp53_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","94","324232","0.0-94.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","95","327318","0.0-95.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159897.bmppp53_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","96","327318","0.0-96.0","","","","","","","","",""
"","1790.7999999821186","survey-likert","97","329109","0.0-97.0","","","","","","","{""judgement"":0}","[0]","0"
"","2632.9000000059605","survey-likert","98","331743","0.0-98.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","99","331744","0.0-99.0","","","","","","","","",""
"","null","html-keyboard-response","100","334747","0.0-100.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","101","337956","0.0-101.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159882.bmppp96_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","102","340958","0.0-102.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","103","344107","0.0-103.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159882.bmppp96_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","104","344107","0.0-104.0","","","","","","","","",""
"","2377.0999999940395","survey-likert","105","346485","0.0-105.0","","","","","","","{""judgement"":1}","[0]","0"
"","2861.9000000059605","survey-likert","106","349348","0.0-106.0","","","","","","","{""confidence"":0}","[0]",""
"","","call-function","107","349348","0.0-107.0","","","","","","","","",""
"","null","html-keyboard-response","108","352353","0.0-108.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","109","355429","0.0-109.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713779.bmppp67_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","110","358431","0.0-110.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","111","361612","0.0-111.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713779.bmppp67_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","112","361612","0.0-112.0","","","","","","","","",""
"","2328.300000011921","survey-likert","113","363941","0.0-113.0","","","","","","","{""judgement"":0}","[0]","0"
"","1986.9000000059605","survey-likert","114","365929","0.0-114.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","115","365929","0.0-115.0","","","","","","","","",""
"","null","html-keyboard-response","116","368932","0.0-116.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","117","372152","0.0-117.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592394.bmppp86_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","118","375156","0.0-118.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","119","378285","0.0-119.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592394.bmppp86_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","120","378285","0.0-120.0","","","","","","","","",""
"","2839.4000000059605","survey-likert","121","381125","0.0-121.0","","","","","","","{""judgement"":1}","[0]","1"
"","1736.199999988079","survey-likert","122","382862","0.0-122.0","","","","","","","{""confidence"":0}","[0]",""
"","","call-function","123","382863","0.0-123.0","","","","","","","","",""
"","null","html-keyboard-response","124","385870","0.0-124.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","125","389060","0.0-125.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592499.bmppp152_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","126","392061","0.0-126.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","127","395294","0.0-127.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592499.bmppp152_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","128","395294","0.0-128.0","","","","","","","","",""
"","3502.899999976158","survey-likert","129","398798","0.0-129.0","","","","","","","{""judgement"":1}","[0]","0"
"","2803","survey-likert","130","401602","0.0-130.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","131","401603","0.0-131.0","","","","","","","","",""
"","null","html-keyboard-response","132","404606","0.0-132.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","133","407784","0.0-133.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_498396.bmppp79_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","134","410788","0.0-134.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","135","413901","0.0-135.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_498396.bmppp79_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","136","413902","0.0-136.0","","","","","","","","",""
"","5162.5999999940395","survey-likert","137","419065","0.0-137.0","","","","","","","{""judgement"":1}","[0]","0"
"","1792.7999999821186","survey-likert","138","420859","0.0-138.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","139","420860","0.0-139.0","","","","","","","","",""
"","null","html-keyboard-response","140","423861","0.0-140.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","141","426951","0.0-141.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_498155.bmppp90_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","142","429957","0.0-142.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","143","433031","0.0-143.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_498155.bmppp90_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","144","433032","0.0-144.0","","","","","","","","",""
"","2243.699999988079","survey-likert","145","435276","0.0-145.0","","","","","","","{""judgement"":1}","[0]","1"
"","2253.7999999821186","survey-likert","146","437531","0.0-146.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","147","437531","0.0-147.0","","","","","","","","",""
"","null","html-keyboard-response","148","440533","0.0-148.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","149","443669","0.0-149.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_150458.bmppp82_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","150","446675","0.0-150.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","151","449820","0.0-151.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_150458.bmppp82_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","152","449820","0.0-152.0","","","","","","","","",""
"","3482.7000000178814","survey-likert","153","453303","0.0-153.0","","","","","","","{""judgement"":0}","[0]","1"
"","2819","survey-likert","154","456123","0.0-154.0","","","","","","","{""confidence"":0}","[0]",""
"","","call-function","155","456124","0.0-155.0","","","","","","","","",""
"","null","html-keyboard-response","156","459128","0.0-156.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","157","462327","0.0-157.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1160093.bmppp152_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","158","465329","0.0-158.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
