"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"","","call-function","46","133886","0.0-46.0","","","","","","","","",""
"","null","html-keyboard-response","47","136890","0.0-47.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","48","140086","0.0-48.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1159819.bmppp52_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","49","143090","0.0-49.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","50","146497","0.0-50.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1159819.bmppp52_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","51","146497","0.0-51.0","","","","","","","","",""
"","2605.2999999821186","survey-likert","52","149104","0.0-52.0","","","","","","","{""judgement"":1}","[0]","0"
"","1762","survey-likert","53","150867","0.0-53.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","54","150868","0.0-54.0","","","","","","","","",""
"","null","html-keyboard-response","55","153870","0.0-55.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","56","157056","0.0-56.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_285851.bmppp64_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","57","160060","0.0-57.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","58","163206","0.0-58.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_285851.bmppp64_L1V1_freeview_veridical.mp4","","",""
"","","call-function","59","163207","0.0-59.0","","","","","","","","",""
"","2533.699999988079","survey-likert","60","165742","0.0-60.0","","","","","","","{""judgement"":0}","[0]","1"
"","1859.4000000059605","survey-likert","61","167602","0.0-61.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","62","167603","0.0-62.0","","","","","","","","",""
"","null","html-keyboard-response","63","170606","0.0-63.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","64","173741","0.0-64.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1592530.bmppp89_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","65","176743","0.0-65.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","66","179850","0.0-66.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1592530.bmppp89_L1V1_freeview_veridical.mp4","","",""
"","","call-function","67","179850","0.0-67.0","","","","","","","","",""
"","3395.5","survey-likert","68","183246","0.0-68.0","","","","","","","{""judgement"":0}","[0]","1"
"","2372.0999999940395","survey-likert","69","185619","0.0-69.0","","","","","","","{""confidence"":0}","[0]",""
"","","call-function","70","185619","0.0-70.0","","","","","","","","",""
"","null","html-keyboard-response","71","188621","0.0-71.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","72","191835","0.0-72.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1159463.bmppp63_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","73","194840","0.0-73.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","74","197984","0.0-74.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1159463.bmppp63_L1V1_freeview_veridical.mp4","","",""
"","","call-function","75","197984","0.0-75.0","","","","","","","","",""
"","3528.5","survey-likert","76","201513","0.0-76.0","","","","","","","{""judgement"":0}","[0]","1"
"","2093.0999999940395","survey-likert","77","203607","0.0-77.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","78","203608","0.0-78.0","","","","","","","","",""
"","null","html-keyboard-response","79","206611","0.0-79.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","80","209891","0.0-80.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1159425.bmppp58_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","81","212895","0.0-81.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","82","216075","0.0-82.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1159425.bmppp58_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","83","216075","0.0-83.0","","","","","","","","",""
"","2920.0999999940395","survey-likert","84","218996","0.0-84.0","","","","","","","{""judgement"":1}","[0]","0"
"","1365.699999988079","survey-likert","85","220364","0.0-85.0","","","","","","","{""confidence"":1}","[0]",""
"[{""page_index"":0,""viewing_time"":31981.70000001788},{""page_index"":1,""viewing_time"":760.2999999821186},{""page_index"":2,""viewing_time"":637.3000000119209}]","33379.5","instructions","86","253745","0.0-86.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":575.5},{""page_index"":1,""viewing_time"":752.7999999821186},{""page_index"":2,""viewing_time"":621.9000000059605}]","1950.699999988079","instructions","87","255697","0.0-87.0","","","","","","","","",""
"","","call-function","88","255698","0.0-88.0","","","","","","","","",""
"","null","html-keyboard-response","89","258703","0.0-89.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","90","261908","0.0-90.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1592189.bmppp151_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","91","264910","0.0-91.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","92","268043","0.0-92.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1592189.bmppp151_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","93","268043","0.0-93.0","","","","","","","","",""
"","2215.4000000059605","survey-likert","94","270259","0.0-94.0","","","","","","","{""judgement"":1}","[0]","0"
