"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"3513.740000000049","","","categorize-html","40","287487","0.0-40.0","tr82nfna","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","41","287988","0.0-41.0","tr82nfna",""," ","null","","","","",""
"","","","call-function","42","287989","0.0-42.0","tr82nfna","","","","","","","",""
"null","","","html-keyboard-response","43","289494","0.0-43.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","44","292582","0.0-44.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_3/1159572.bmp_pp52_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","45","294084","0.0-45.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","46","297188","0.0-46.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_3/1159572.bmp_pp63_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","47","297188","0.0-47.0","tr82nfna","","","","","","","",""
"4960.390000000014","","","categorize-html","48","304153","0.0-48.0","tr82nfna","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","49","304659","0.0-49.0","tr82nfna",""," ","null","","","","",""
"","","","call-function","50","304660","0.0-50.0","tr82nfna","","","","","","","",""
"null","","","html-keyboard-response","51","306166","0.0-51.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","52","309227","0.0-52.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_3/1592501.bmp_pp63_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","53","310729","0.0-53.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","54","313791","0.0-54.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_3/1592501.bmp_pp52_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","55","313791","0.0-55.0","tr82nfna","","","","","","","",""
"1029.0449999999837","","","categorize-html","56","316826","0.0-56.0","tr82nfna","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","57","317332","0.0-57.0","tr82nfna",""," ","null","","","","",""
"","","","call-function","58","317332","0.0-58.0","tr82nfna","","","","","","","",""
"null","","","html-keyboard-response","59","318836","0.0-59.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","60","321905","0.0-60.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_3/1159353.bmp_pp63_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","61","323409","0.0-61.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","62","326473","0.0-62.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_3/1159353.bmp_pp52_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","63","326473","0.0-63.0","tr82nfna","","","","","","","",""
"811.0149999999558","","","categorize-html","64","329288","0.0-64.0","tr82nfna","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","65","329790","0.0-65.0","tr82nfna",""," ","null","","","","",""
"","","","call-function","66","329791","0.0-66.0","tr82nfna","","","","","","","",""
"null","","","html-keyboard-response","67","331295","0.0-67.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","68","334401","0.0-68.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_3/1591781.bmp_pp52_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","69","335903","0.0-69.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","70","339010","0.0-70.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_3/1591781.bmp_pp63_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","71","339010","0.0-71.0","tr82nfna","","","","","","","",""
"521.9800000000396","","","categorize-html","72","341535","0.0-72.0","tr82nfna","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","73","342036","0.0-73.0","tr82nfna",""," ","null","","","","",""
"","","","call-function","74","342037","0.0-74.0","tr82nfna","","","","","","","",""
"null","","","html-keyboard-response","75","343539","0.0-75.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","76","346636","0.0-76.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_3/713707.bmp_pp52_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","77","348142","0.0-77.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","78","351233","0.0-78.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_3/713707.bmp_pp63_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","79","351234","0.0-79.0","tr82nfna","","","","","","","",""
"3258.5900000000256","","","categorize-html","80","356497","0.0-80.0","tr82nfna","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","81","357001","0.0-81.0","tr82nfna",""," ","null","","","","",""
"","","","call-function","82","357001","0.0-82.0","tr82nfna","","","","","","","",""
"null","","","html-keyboard-response","83","358506","0.0-83.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","84","361628","0.0-84.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_3/713920.bmp_pp63_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","85","363129","0.0-85.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","86","366226","0.0-86.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_3/713920.bmp_pp52_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","87","366226","0.0-87.0","tr82nfna","","","","","","","",""
"2202.4049999999697","","","categorize-html","88","370434","0.0-88.0","tr82nfna","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","89","370941","0.0-89.0","tr82nfna",""," ","null","","","","",""
"28173.050000000047","","","instructions","90","399114","0.0-90.0","tr82nfna","[{""page_index"":0,""viewing_time"":2010.8400000000256},{""page_index"":1,""viewing_time"":25274.130000000005},{""page_index"":2,""viewing_time"":887.9749999999767}]","","","","","","",""
"3817.8649999999907","","","instructions","91","402932","0.0-91.0","tr82nfna","[{""page_index"":0,""viewing_time"":850.9150000000373},{""page_index"":1,""viewing_time"":1750.6399999999558},{""page_index"":2,""viewing_time"":1216.2000000000116}]","","","","","","",""
"","","","call-function","92","402933","0.0-92.0","tr82nfna","","","","","","","",""
"null","","","html-keyboard-response","93","404433","0.0-93.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","94","407493","0.0-94.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_3/1592657.bmp_pp63_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","95","409000","0.0-95.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","96","412076","0.0-96.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_3/1592657.bmp_pp52_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","97","412077","0.0-97.0","tr82nfna","","","","","","","",""
"671.4550000000163","","","categorize-html","98","414751","0.0-98.0","tr82nfna","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","99","415257","0.0-99.0","tr82nfna",""," ","null","","","","",""
"","","","call-function","100","415258","0.0-100.0","tr82nfna","","","","","","","",""
"null","","","html-keyboard-response","101","416764","0.0-101.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","102","419824","0.0-102.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_3/713371.bmp_pp63_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","103","421328","0.0-103.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","104","424402","0.0-104.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_3/713371.bmp_pp52_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","105","424402","0.0-105.0","tr82nfna","","","","","","","",""
"594.0800000000163","","","categorize-html","106","427003","0.0-106.0","tr82nfna","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","107","427506","0.0-107.0","tr82nfna",""," ","null","","","","",""
"","","","call-function","108","427506","0.0-108.0","tr82nfna","","","","","","","",""
"null","","","html-keyboard-response","109","429008","0.0-109.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","110","432114","0.0-110.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_3/713075.bmp_pp63_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","111","433619","0.0-111.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","112","436705","0.0-112.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_3/713075.bmp_pp52_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","113","436705","0.0-113.0","tr82nfna","","","","","","","",""
"1091.1699999999837","","","categorize-html","114","439804","0.0-114.0","tr82nfna","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","115","440306","0.0-115.0","tr82nfna",""," ","null","","","","",""
"","","","call-function","116","440306","0.0-116.0","tr82nfna","","","","","","","",""
