"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"","","","call-function","37","750870","0.0-37.0","b7jflaw0","","","","","","","",""
"559.9250000000466","","","categorize-html","38","753433","0.0-38.0","b7jflaw0","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","39","753936","0.0-39.0","b7jflaw0",""," ","null","","","","",""
"","","","call-function","40","753936","0.0-40.0","b7jflaw0","","","","","","","",""
"null","","","html-keyboard-response","41","755440","0.0-41.0","b7jflaw0","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","42","758530","0.0-42.0","b7jflaw0","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_1/713593.bmp_pp154_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","43","760033","0.0-43.0","b7jflaw0","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","44","763134","0.0-44.0","b7jflaw0","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_1/713593.bmp_pp58_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","45","763134","0.0-45.0","b7jflaw0","","","","","","","",""
"1391.4799999999814","","","categorize-html","46","766530","0.0-46.0","b7jflaw0","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","47","767033","0.0-47.0","b7jflaw0",""," ","null","","","","",""
"","","","call-function","48","767033","0.0-48.0","b7jflaw0","","","","","","","",""
"null","","","html-keyboard-response","49","768538","0.0-49.0","b7jflaw0","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","50","771596","0.0-50.0","b7jflaw0","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_1/713024.bmp_pp58_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","51","773099","0.0-51.0","b7jflaw0","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","52","776160","0.0-52.0","b7jflaw0","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_1/713024.bmp_pp154_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","53","776160","0.0-53.0","b7jflaw0","","","","","","","",""
"389.75","","","categorize-html","54","778555","0.0-54.0","b7jflaw0","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","55","779057","0.0-55.0","b7jflaw0",""," ","null","","","","",""
"","","","call-function","56","779057","0.0-56.0","b7jflaw0","","","","","","","",""
"null","","","html-keyboard-response","57","780564","0.0-57.0","b7jflaw0","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","58","783638","0.0-58.0","b7jflaw0","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_1/713450.bmp_pp154_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
