"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"","","call-function","46","174393","0.0-46.0","","","","","","","","",""
"","null","html-keyboard-response","47","177398","0.0-47.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","48","180497","0.0-48.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_285932.bmppp151_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","49","183499","0.0-49.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","50","186595","0.0-50.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_285932.bmppp151_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","51","186596","0.0-51.0","","","","","","","","",""
"","3066.7000000178814","survey-likert","52","189663","0.0-52.0","","","","","","","{""judgement"":0}","[0]","0"
"","2029.800000011921","survey-likert","53","191694","0.0-53.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","54","191695","0.0-54.0","","","","","","","","",""
"","null","html-keyboard-response","55","194697","0.0-55.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","56","197794","0.0-56.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_150273.bmppp57_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","57","200798","0.0-57.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","58","203885","0.0-58.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_150273.bmppp57_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","59","203886","0.0-59.0","","","","","","","","",""
"","3197.699999988079","survey-likert","60","207084","0.0-60.0","","","","","","","{""judgement"":0}","[0]","0"
"","1911.199999988079","survey-likert","61","208997","0.0-61.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","62","208998","0.0-62.0","","","","","","","","",""
"","null","html-keyboard-response","63","212002","0.0-63.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","64","215093","0.0-64.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1160062.bmppp71_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","65","218100","0.0-65.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
