"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"","","call-function","46","112514","0.0-46.0","","","","","","","","",""
"","null","html-keyboard-response","47","115516","0.0-47.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","48","118587","0.0-48.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_150432.bmppp81_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","49","121589","0.0-49.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","50","124672","0.0-50.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_150432.bmppp81_L1V1_freeview_veridical.mp4","","",""
"","","call-function","51","124673","0.0-51.0","","","","","","","","",""
"","2362","survey-likert","52","127037","0.0-52.0","","","","","","","{""judgement"":1}","[0]","1"
"","1887.4000000059605","survey-likert","53","128925","0.0-53.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","54","128926","0.0-54.0","","","","","","","","",""
"","null","html-keyboard-response","55","131926","0.0-55.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","56","135010","0.0-56.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1592836.bmppp68_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","57","138016","0.0-57.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","58","141095","0.0-58.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1592836.bmppp68_L1V1_freeview_veridical.mp4","","",""
"","","call-function","59","141095","0.0-59.0","","","","","","","","",""
"","3770.2999999970198","survey-likert","60","144867","0.0-60.0","","","","","","","{""judgement"":1}","[0]","1"
