,rt,responses,question_order,trial_type,trial_index,time_elapsed,internal_node_id,ID,view_history,key_press,stimulus,agent,condition,image,correct_answer,proportion_correct
296,2197.170000000040,"{""confidence"":2}",[0],survey-likert,296,914128,0.0-296.0,g7w9ueww,,,,,,,,
297,,,,call-function,297,914129,0.0-297.0,g7w9ueww,,,,,,,,
298,Nothing,,,html-keyboard-response,298,915633,0.0-298.0,g7w9ueww,,Nothing,['Agent A'],,,,,
299,Nothing,,,video-keyboard-response,299,918712,0.0-299.0,g7w9ueww,,Nothing,,Agent A,veridical,STIM_SET_2/498025.bmp_pp81_L1_V1.0_veridical_freeview_isoTrue.mp4,,
300,Nothing,,,html-keyboard-response,300,920218,0.0-300.0,g7w9ueww,,Nothing,['Agent B'],,,,,
301,Nothing,,,video-keyboard-response,301,923310,0.0-301.0,g7w9ueww,,Nothing,,Agent B,scrambled,STIM_SET_2/498025.bmp_pp81_L1_V1.0_scrambled_freeview_isoTrue.mp4,,
302,,,,call-function,302,923311,0.0-302.0,g7w9ueww,,,,,,,,
303,5406.760000000010,"{""judgement"":0}",[0],survey-likert,303,928718,0.0-303.0,g7w9ueww,,,,,,,0.0,1
304,5076.020000000020,"{""confidence"":1}",[0],survey-likert,304,933795,0.0-304.0,g7w9ueww,,,,,,,,
305,,,,call-function,305,933796,0.0-305.0,g7w9ueww,,,,,,,,
306,Nothing,,,html-keyboard-response,306,935301,0.0-306.0,g7w9ueww,,Nothing,['Agent A'],,,,,
307,Nothing,,,video-keyboard-response,307,938373,0.0-307.0,g7w9ueww,,Nothing,,Agent A,veridical,STIM_SET_2/1160204.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue.mp4,,
308,Nothing,,,html-keyboard-response,308,939877,0.0-308.0,g7w9ueww,,Nothing,['Agent B'],,,,,
309,Nothing,,,video-keyboard-response,309,942950,0.0-309.0,g7w9ueww,,Nothing,,Agent B,scrambled,STIM_SET_2/1160204.bmp_pp54_L2_V1.0_scrambled_freeview_isoTrue.mp4,,
310,,,,call-function,310,942951,0.0-310.0,g7w9ueww,,,,,,,,
311,7379.965000000080,"{""judgement"":1}",[0],survey-likert,311,950332,0.0-311.0,g7w9ueww,,,,,,,0.0,0
312,2660.8649999999900,"{""confidence"":0}",[0],survey-likert,312,952995,0.0-312.0,g7w9ueww,,,,,,,,
313,,,,call-function,313,952996,0.0-313.0,g7w9ueww,,,,,,,,
314,Nothing,,,html-keyboard-response,314,954499,0.0-314.0,g7w9ueww,,Nothing,['Agent A'],,,,,
315,Nothing,,,video-keyboard-response,315,957567,0.0-315.0,g7w9ueww,,Nothing,,Agent A,scrambled,STIM_SET_2/713328.bmp_pp86_L2_V1.0_scrambled_freeview_isoTrue.mp4,,
316,Nothing,,,html-keyboard-response,316,959069,0.0-316.0,g7w9ueww,,Nothing,['Agent B'],,,,,
317,Nothing,,,video-keyboard-response,317,962140,0.0-317.0,g7w9ueww,,Nothing,,Agent B,veridical,STIM_SET_2/713328.bmp_pp86_L2_V1.0_veridical_freeview_isoTrue.mp4,,
318,,,,call-function,318,962140,0.0-318.0,g7w9ueww,,,,,,,,
319,1765.4100000000300,"{""judgement"":1}",[0],survey-likert,319,963907,0.0-319.0,g7w9ueww,,,,,,,1.0,1
320,1408.0200000000200,"{""confidence"":2}",[0],survey-likert,320,965316,0.0-320.0,g7w9ueww,,,,,,,,
321,,,,call-function,321,965316,0.0-321.0,g7w9ueww,,,,,,,,
322,Nothing,,,html-keyboard-response,322,966820,0.0-322.0,g7w9ueww,,Nothing,['Agent A'],,,,,
323,Nothing,,,video-keyboard-response,323,969889,0.0-323.0,g7w9ueww,,Nothing,,Agent A,scrambled,STIM_SET_2/1592017.bmp_pp154_L1_V1.0_scrambled_freeview_isoTrue.mp4,,
324,Nothing,,,html-keyboard-response,324,971395,0.0-324.0,g7w9ueww,,Nothing,['Agent B'],,,,,
325,Nothing,,,video-keyboard-response,325,974465,0.0-325.0,g7w9ueww,,Nothing,,Agent B,veridical,STIM_SET_2/1592017.bmp_pp154_L1_V1.0_veridical_freeview_isoTrue.mp4,,
326,,,,call-function,326,974465,0.0-326.0,g7w9ueww,,,,,,,,
327,1436.6300000000000,"{""judgement"":1}",[0],survey-likert,327,975903,0.0-327.0,g7w9ueww,,,,,,,1.0,1
328,1733.969999999970,"{""confidence"":2}",[0],survey-likert,328,977638,0.0-328.0,g7w9ueww,,,,,,,,
329,,,,call-function,329,977638,0.0-329.0,g7w9ueww,,,,,,,,
330,Nothing,,,html-keyboard-response,330,979145,0.0-330.0,g7w9ueww,,Nothing,['Agent A'],,,,,
331,Nothing,,,video-keyboard-response,331,982242,0.0-331.0,g7w9ueww,,Nothing,,Agent A,scrambled,STIM_SET_2/713829.bmp_pp60_L3_V1.0_scrambled_freeview_isoTrue.mp4,,
332,Nothing,,,html-keyboard-response,332,983748,0.0-332.0,g7w9ueww,,Nothing,['Agent B'],,,,,
333,Nothing,,,video-keyboard-response,333,986846,0.0-333.0,g7w9ueww,,Nothing,,Agent B,veridical,STIM_SET_2/713829.bmp_pp60_L3_V1.0_veridical_freeview_isoTrue.mp4,,
334,,,,call-function,334,986846,0.0-334.0,g7w9ueww,,,,,,,,
